0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:07:04 +0530] "GET /Deliverit-2.0/ HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:28:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:28:37 +0530] "GET /Deliverit-2.4/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:28:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:28:37 +0530] "GET /Deliverit-2.4/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:28:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:33:19 +0530] "GET /Deliverit-2.4/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:33:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:36:48 +0530] "GET /Deliverit-2.5/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:36:48 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:36:50 +0530] "GET /Deliverit-2.5/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:36:51 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:38:07 +0530] "GET /Deliverit-2.5/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:38:07 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:38:11 +0530] "GET /Deliverit-2.6/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:38:11 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:33 +0530] "GET /Deliverit-2.7/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:34 +0530] "GET /Deliverit-2.7/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:35 +0530] "GET /Deliverit-2.7/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:39 +0530] "GET /Deliverit-2.7/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:39 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:40 +0530] "GET /Deliverit-2.7/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:40:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:41:53 +0530] "GET /Deliverit-2.8/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:41:53 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:41:57 +0530] "GET /Deliverit-2.8/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:41:57 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:42:08 +0530] "GET /Deliverit-2.8/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:42:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:42:08 +0530] "GET /Deliverit-2.8/myservlet HTTP/1.1" 500 2393
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:42:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:53:54 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:53:54 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:53:56 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [10/Feb/2026:09:53:56 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:24 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:26 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:27 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 2409
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:59 +0530] "GET /Deliverit-2.9/myservlet HTTP/1.1" 500 1699
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:04:59 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:16:24 +0530] "GET /Deliverit-2.10/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:16:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:16:29 +0530] "GET /Deliverit-2.10/myservlet HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:16:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:18:20 +0530] "GET /Deliverit-2.11/myservlet HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:18:20 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:18:21 +0530] "GET /Deliverit-2.11/myservlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [10/Feb/2026:10:18:21 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
